rank,target,region,primary_markets,target_type,score_100,route_density,recurring_revenue_evidence,owner_succession_clues,review_quality,website_sophistication,service_mix,equipment_vendor_dependence,technician_bench,acquisition_jv_fit,confirmed_facts,inferred_clues,source_urls,source_date,notes
1,Perfectly Clear Water Filtration,South Florida,"Broward; Palm Beach",Independent filtration/softener service route,90,5,5,4,4,4,"Install/service/repair all brands; salt delivery; monthly well-water maintenance; filter changes; rebeds; pumps",Low-to-medium; lists common non-exclusive components like Fleck/Clack/Pentair,4,5,"Family-owned for 30+ years; serves Broward/Palm Beach; offers one-time or automatic salt delivery, monthly well-water maintenance, all-brand service/repair, rebeds, cartridge/membrane replacement, pump repair","Long tenure plus family-owned language suggests possible succession window, but no seller intent or owner age confirmed","https://www.perfectlyclearwaterfiltration.com/about-us; https://www.perfectlyclearwaterfiltration.com/commercial-water-treatment",2026-06-07,"Best route-book pattern found: recurring consumables, maintenance, all-brand repair, and dense South Florida geography."
2,Seacrest Water,South Florida,"Delray Beach; Boca Raton; Boynton Beach; West Palm Beach; Jupiter; Palm Beach County plus nearby Broward",Independent filtration/softener specialist,88,5,4,4,4,3,"Water softening; carbon filters; RO; residential/commercial filtration; salt delivery; 24-hour emergency service",Low-to-medium; no exclusive dealer lock found,4,5,"Locally owned and operated Palm Beach County business; family-owned and operated since 1975; now offering salt delivery; broad PBC service area","Founder/family transition possible from 50+ year operating history, but not confirmed","https://seacrestpurewater.com/; https://seacrestpurewater.com/salt-delivery",2026-06-07,"Strong Palm Beach density and credible salt attach. Must prove installed-base count and recurring revenue mix."
3,Advanced Water Products Inc.,South Florida,"Miami-Dade; Broward; Monroe; Homestead",Independent water treatment company,87,5,5,4,3,3,"Water softeners; filtration; RO; salt/chemical delivery; monthly salt/chemical service; rentals; repair",Low-to-medium; appears equipment-agnostic service program,4,5,"Family-owned South Florida water-treatment business since 1956; monthly Salt/Chemical Service includes scheduled delivery, brine refill, performance/maintenance check, timer/basic maintenance; services all brands","Long family-owned tenure suggests succession potential; company may be larger/more durable than ideal first small route buy","https://www.advancedwaterproductsinc.com/services/salt-chemical-delivery/; https://www.yellowpages.com/miami-fl/mip/advanced-water-products-inc-5833248",2026-06-07,"Probably the cleanest Miami recurring program. Top question is whether owner/family would sell route, business, or minority/JV."
4,All Pumps & Water,South Florida,"Jupiter; Palm Beach Gardens; North Palm Beach; Stuart; Palm Beach/Martin County",Independent well pump + filtration/softener operator,84,4,4,3,5,4,"RO; softeners; carbon filters; well pumps; rebedding; analysis/install/maintain/repair; salt delivery",Low; emphasizes product choices like Goulds but not exclusive dealer lock,4,5,"Serving Jupiter and Palm Beach County for 20+ years; licensed/insured; 5-star rated; provides salt delivery, maintenance, emergency repairs; owner Matthew named in testimonial","Owner-led clue from customer review; high local trust; not enough evidence of succession or route database","https://www.allpumpsandwater.com/; https://www.allpumpsandwater.com/services",2026-06-07,"Great Palm Beach north/well-water platform candidate; more technical than pure salt route."
5,SoftSprings Water Conditioning Inc.,Northern NJ,"Morris; Bergen; Essex; Passaic; Sussex; broader Northern NJ",Independent water conditioning company,83,4,5,4,3,3,"Water softening; filtration; purification; install/maintenance; automatic salt delivery; rentals",Medium; Hybrid Series NGE authorized dealer language but also broad service,3,4,"Serving Northern NJ since 1960; automatic scheduled salt deliveries at no extra cost; rentals and financing; showroom in Morris County","Long-tenured local company may have succession potential; dealer/equipment dependence must be checked","https://softspringswaterconditioning.com/; https://softspringswaterconditioning.com/bergen-county-nj-water-softener/",2026-06-07,"Best Northern NJ route signal because salt delivery and rentals imply installed-base continuity."
6,The Jayson Company,North/Central NJ,"Union; Essex; Morris; Bergen; Hudson; Hunterdon; Somerset; Sussex; Warren; commercial/institutional accounts",Family-owned diversified water conditioning company,81,4,5,3,4,4,"Residential/commercial softeners; purification; RO; bottleless coolers; salt delivery; HVAC/fuel/pool adjacent",Low-to-medium; large enough to handle many equipment lines,5,3,"Founded in 1936; owned and operated by three generations of NJ family; full-service commercial and residential water conditioning; salt delivery request option","Could be too big/diversified for Dan's first bite; succession may already be institutionalized","https://www.jaysonwaterquality.com/about.html; https://www.jaysoncompany.com/commercial-water-conditoning/; https://www.jaysoncompany.com/contact-the-jayson-company/",2026-06-07,"Excellent benchmark and possible carveout/JV, less likely a clean small-company acquisition."
7,Westfair Water Systems,Westchester/Putnam,"Westchester; Putnam; surrounding NY",Authorized independent Kinetico dealer,80,4,4,3,5,4,"Kinetico softeners; neutralizers; filtration; residential/commercial service/support",High; authorized independent Kinetico dealer,4,4,"Family owned and operated; leading Westchester water-treatment firm for over two decades; exclusive Kinetico Water Systems partner in Westchester","Dealer transfer restrictions and Kinetico dependence are real diligence risks; family-owned language supports succession screen but no age/seller clue","https://www.westfairwater.com/about/",2026-06-07,"Attractive affluent-market dealer if transfer rights are clean. Kinetico rules are the main gating item."
8,CTSoftWater,Connecticut,"Hartford; New Haven; Middlesex; Tolland; statewide CT",Independent residential softener/RO service company,78,4,4,2,5,5,"Complete home systems; repairs/maintenance; all-brand service; filter replacement; salt delivery; annual tune-ups",Medium; packages/lifetime warranty may tie to internal equipment choices,3,4,"Family-owned; 10+ years; 100+ 5-star reviews; BBB accredited; services all brands; offers salt delivery, annual tune-ups, filter replacements","Looks growth-oriented rather than succession-driven; route book still worth mapping","https://ctsoftwater.com/",2026-06-07,"Modern operator with recurring maintenance attach. More likely partnership/benchmark than seller."
9,Aqua Pump Co. Inc.,CT/Western MA,"Connecticut; Hampden County MA; Sturbridge/Southbridge MA",Well pump + water filtration/conditioning platform,77,3,4,3,4,4,"Well repair/maintenance; water testing; filtration/conditioning; certified operator program; PFAS; pumps; RO; softeners",Low-to-medium; uses established suppliers and domestic parts where possible,5,4,"Established 1973; family-owned since the 1940s; entering 4th generation; commercial/community water supply customers; certified operator program","May be too substantial/technical for first acquisition; recurring operator contracts could be valuable if separable","https://www.aquapump.com/",2026-06-07,"Best CT commercial/technical platform, but key-person/licensing and valuation risk likely higher than salt-route targets."
10,Culligan Water Filtration of New England,Eastern MA,"Eastern Massachusetts; New England",Family-owned Culligan dealer,76,4,5,3,4,4,"Culligan softeners; filtration; RO; service; likely salt/bottle delivery through Culligan channel",High; Culligan dealer transfer/dealer territory rules,4,3,"Eastern MA Culligan dealer since 1992; states local and family-owned / mom-and-pop; backed by global Culligan technology","Dealer rights and transferability could block a small independent acquisition; MA municipal water is soft in MWRA towns, so demand likely outer suburbs/wells/PFAS","https://culliganh2ofiltration.com/; https://culliganwaterma.com/bottled-water-salt-delivery-home-business/",2026-06-07,"Good benchmark and possible dealer acquisition only if Culligan consents; not a simple roll-up target."
11,Hanson's Water Filtration,MA/NH,"Westford; Massachusetts; New Hampshire",Independent filtration/softener specialist,75,3,3,3,5,4,"Water filtration; softening; customized household systems; service requests",Low-to-medium; no exclusive dependence found,3,4,"Family-owned business; operating since 2003; Massachusetts-based; serves MA/NH; claims top water softening provider in 2022","Long owner-operated profile suggests possible small-business fit; recurring service not as explicit as salt-route leaders","https://www.hansonswaterfiltration.com/",2026-06-07,"Best Boston-west independent target, but MA hardness weakens generic softener thesis inside MWRA towns."
12,Hydro-Pure Water Treatment LLC,Connecticut,"Eastern and shoreline Connecticut",Owner-operated water treatment/well service,74,3,4,4,4,2,"Water treatment; well tanks/pumps/testing; services most makes/models; new systems; inspections; chlorination",Low; services most makes and models,3,4,"Owned and operated by Frank and Carri Lineberry; Carri involved since company began in 1997; Frank has 25+ years field experience; services homes/businesses","Named owner-operator and 1997 tenure make succession/key-person diligence important","https://hydro-pure.com/",2026-06-07,"Good owner-operated route/service candidate if customer base is dense enough; key-person risk may be high."
13,Servisoft Water Refining Systems LLC,Connecticut,"New Milford; extended Fairfield County",Independent water refining/service company,73,3,5,3,4,2,"Softeners; filtration; RO; UV; aeration; neutralizers; iron/sediment filters; salt/potassium home delivery; service contracts; rentals",Low-to-medium; service contracts and rentals imply owned book,3,4,"Directory source lists home delivery of salt/potassium, service/maintenance, installation, troubleshooting, sales/rentals, service contracts; customer says used for 10+ years","Succession not confirmed; likely small local operator with potentially valuable service contracts","https://www.yellowpages.com/new-milford-ct/mip/servisoft-water-refining-systems-llc-452548292",2026-06-07,"High recurring keywords but weaker primary-source website evidence. Verify direct website/entity before outreach."
14,A1 Water Conditioning & Solutions,Northern NJ,"Bergen; Passaic; Morris; Sussex; Essex; Warren; Hudson; Union",Independent water treatment/PFAS specialist,72,3,3,3,5,4,"Well water treatment; whole-house filtration; PFAS; softeners; RO; residential/commercial/medical/state spill fund systems",Low-to-medium; Pura authorized dealer channel present but not obviously exclusive,4,4,"Family-owned; 40+ years; since 1985; NJ state approved vendor and registered public works contractor; PFAS vendor signal","Strong technical capability but recurring salt/service revenue less explicit than SoftSprings/Jayson","https://a1waterconditioningandsolutions.com/; https://a1wcs.purawatersofteners.com/water-softeners; https://www.homeadvisor.com/rated.A1WaterConditioning.63766208.html",2026-06-07,"Good PFAS/well-water tailwind target; may skew project-heavy unless maintenance plans are real."
15,The Water Doctor of South Florida,South Florida,"South Florida; commercial accounts",Family-owned water treatment company,71,3,4,3,4,3,"Commercial water treatment; customized systems; salt delivery",Low-to-medium,3,3,"Family-owned and operated; since 1984; commercial service page includes salt delivery","Service area and installed-base density need verification; may be outside Dan's preferred tri-county core depending actual location","https://waterdoctorfl.com/commercial-service/",2026-06-07,"Worth a second-pass screen for commercial route economics and technician bench."
